[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 915
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 369
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
